45,83,27.2,100
71.75,100,14.6,93
117,100,23.4,90
70,100,5.4,90
105.2,100,18.2,90
224,100,24.6,90
99.2,100,13.7,89
108.2,100,16.8,88
125.2,100,16.4,88
110.3,100,13.9,87
125.2,100,15.9,87
105.4,100,16.5,87
129,100,29.5,87
124.92,100,11.9,86
114,100,27.5,86
125.44,100,13.5,86
136.07,100,13.5,85
132,100,15.1,85
122,100,15.4,85
129.67,100,13.2,85
96,100,22,85
109.09,100,8.7,84
77.86,100,7.3,84
165,100,29.1,84
50,100,2,84
75,100,15,84
159,100,26.8,83
126.2,100,12.3,83
125.75,100,12.4,83
111,83,26.9,83
175,100,11.3,83
130,83,23.6,83
327.5,100,16.4,83
145.62,100,11.9,82
126.77,100,3.2,81
132.12,100,11.2,81
75,86,20.5,81
135,100,22.7,81
180,100,27.3,81
166.11,100,10.3,81
159,98,26.3,81
150.45,100,7.4,80
138.13,100,5.8,79
238,100,18.3,79
169.33,100,10.7,79
134,100,1.3,78
136.5,100,2.1,78
77.5,86,17.8,78
158.17,100,10.9,78
119,83,15.3,78
122.12,100,13.5,78
1442,100,10.3,78
225.36,100,10.9,78
197,83,23.2,78
113.5,79,2.1,78
164,100,2.4,78
479,83,18.1,77
167.67,100,3.6,77
134.34,100,1.1,77
136.88,62,8.2,77
167.6,100,10.9,77
133.5,100,1.5,77
125.5,100,1.7,77
171.6,100,11.4,77
65.28,64,11.3,77
117.27,100,6,77
164.5,72,9.3,76
113.8,100,5.2,76
163.8,100,11.1,76
129.34,56,5.1,76
168,100,10.9,76
144,100,24.7,76
141.5,100,0.9,76
118.5,100,0.7,76
179.46,100,9.3,76
104,86,18.7,76
87.48,61,1.9,76
168.17,91,4.3,76
158,100,2.2,76
267.37,100,8.1,76
401,100,9,76
102,100,9.5,76
156,100,0.1,75
266.89,100,2.8,75
317,100,8.2,75
129,100,17.6,75
120,100,3.6,75
102,83,26.8,75
70,84,7.7,75
433.5,86,10.2,75
118,83,21.3,75
130.5,91,0.7,74
211,100,12.4,74
92.5,100,2.3,74
256.5,86,9.2,74
463,100,11.6,74
187,100,17.6,74
163.5,100,8.4,74
110.5,100,2.9,74
99,100,11.7,74
232.25,78,6.6,73
154.66,63,6.9,73
222,100,6,73
215,86,5.1,73
120.33,100,0.4,73
3203,100,0.1,73
624.75,100,0.2,73
189,100,2.2,73
213.25,78,5.8,73
131.3,61,8.1,73
134,100,9.9,73
131,80,1.6,73
130,86,14.7,73
275.2,100,1.6,73
218,100,0.1,72
97.5,86,8.1,72
213,83,20.4,72
179.5,74,2.5,72
322,100,19.3,72
160.75,100,6.1,72
104,86,8.5,72
443.89,100,8.2,72
581,97,17.5,71
395,98,17,71
110.18,100,7.6,71
119.33,88,2.9,71
174.71,100,2.5,71
405,100,16.1,71
196,100,15.7,71
81.08,43,10.1,71
194.66,100,7.3,71
261,100,1.8,71
194.75,100,13.4,71
820,100,7.7,71
183.77,55,6.1,71
615,100,7.8,71
972.4,100,6.3,71
362.5,100,12.3,71
301,100,1.3,71
311.73,100,6.2,71
160,100,2.2,71
123,86,9.3,70
65,100,1.2,70
165,100,11.8,70
351.09,100,6.6,70
222,100,8.9,70
362,100,10.5,70
110,86,6.5,70
179.2,100,0.7,70
155,100,14.2,70
958,100,4.8,70
387.55,100,5.4,70
123.5,60,8.1,70
100,86,12.3,70
293,100,14.2,70
104.67,100,8.5,70
180,83,20.3,70
891.66,100,7.5,70
411.67,100,4.3,70
115,86,6.6,69
336.33,91,8.8,69
